point,RSSI,Filtered RSSI,average rssi,average filtered rssi,Unnamed: 5
3.0,-63.0,-62.98567795202321,,,
3.0,-63.0,-62.99452946446137,,,
3.0,-64.0,-63.6159444301108,,,
3.0,-63.0,-63.23526983712114,,,
3.0,-63.0,-63.08986508125263,,,
3.0,-64.0,-63.65235939538663,,,
3.0,-63.0,-63.24917911615736,,,
3.0,-60.0,-61.24107598683577,,,
3.0,-61.0,-61.09208283309984,,,
3.0,-61.0,-61.03517251246375,,,
3.0,-64.0,-62.86753667054111,,,
3.0,-63.0,-62.94940351040968,,,
3.0,-64.0,-63.59870784943782,,,
3.0,-63.0,-63.22868604915389,,,
3.0,-64.0,-63.70538428677375,,,
3.0,-64.0,-63.88746681116736,,,
3.0,-64.0,-63.95701614672834,,,
3.0,-64.0,-63.98358162901766,,,
3.0,-63.0,-63.37569475157476,,,
3.0,-64.0,-63.7615366144565,,,
3.0,-81.0,-74.41549290054297,,,
3.0,-61.0,-66.12426231217451,,,
3.0,-63.0,-64.19336201348032,,,
3.0,-63.0,-63.45582372826647,,,
3.0,-61.0,-61.93804119381931,,,
3.0,-63.0,-62.59436783069124,,,
3.0,-63.0,-62.8450622982544,,,
3.0,-64.0,-63.55885305282187,,,
3.0,-64.0,-63.83149686021121,,,
3.0,-64.0,-63.93563752781176,,,
3.0,-64.0,-63.97541572322406,,,
3.0,-63.0,-63.37257565311053,,,
,,,,,
,,,,,
4.0,,,,,
4.0,-72.0,-72.0,-70.59701492537313,-70.63726065126912,
4.0,-72.0,-72.0,,,
4.0,-72.0,-72.0,,,
4.0,-72.0,-72.0,,,
4.0,-67.0,-68.9090909090909,,,
4.0,-74.0,-72.05555555555556,,,
4.0,-71.0,-71.40318302387269,,,
4.0,-70.0,-70.53596757852077,,,
4.0,-71.0,-70.82275541795666,,,
4.0,-71.0,-70.93229859571323,,,
4.0,-71.0,-70.97414036474508,,,
4.0,-67.0,-68.51798654244307,,,
4.0,-71.0,-70.05195521982323,,,
4.0,-71.0,-70.63787911683359,,,
4.0,-70.0,-70.24364814191625,,,
4.0,-69.0,-69.47503132016624,,,
4.0,-71.0,-70.41751379608257,,,
4.0,-69.0,-69.54144209058165,,,
4.0,-71.0,-70.44288045316219,,,
4.0,-67.0,-68.31506331390531,,,
4.0,-67.0,-67.50230948855376,,,
4.0,-68.0,-67.80989914050586,,,
4.0,-71.0,-69.7814898992135,,,
4.0,-70.0,-69.91653656838471,,,
4.0,-70.0,-69.96811980594066,,,
4.0,-71.0,-70.60585683818717,,,
4.0,-71.0,-70.84945070862085,,,
4.0,-91.0,-83.30317506267328,,,
4.0,-71.0,-75.69939470440107,,,
4.0,-70.0,-72.17697506178006,,,
4.0,-69.0,-70.21349649218918,,,
4.0,-68.0,-68.8454804260376,,,
4.0,-68.0,-68.32294478592362,,,
4.0,-70.0,-69.35942190923305,,,
4.0,-71.0,-70.37335493052544,,,
4.0,-69.0,-69.52457490484346,,,
4.0,-68.0,-68.58233579525506,,,
4.0,-69.0,-68.84046646967163,,,
4.0,-69.0,-68.93906361375983,,,
4.0,-70.0,-69.59475836035774,,,
4.0,-70.0,-69.84521146731339,,,
4.0,-69.0,-69.32284205283254,,,
4.0,-69.0,-69.12331469118425,,,
4.0,-72.0,-70.90120398696988,,,
4.0,-73.0,-72.19833125847526,,,
4.0,-73.0,-72.6937897884559,,,
4.0,-74.0,-73.50107209564234,,,
4.0,-74.0,-73.80942649847113,,,
4.0,-75.0,-74.54524138852095,,,
4.0,-73.0,-73.59022968959192,,,
4.0,-70.0,-71.37134571400513,,,
4.0,-74.0,-72.99594340742304,,,
4.0,-74.0,-73.61648450826401,,,
4.0,-71.0,-71.9994081511193,,,
4.0,-71.0,-71.38173994509388,,,
4.0,-69.0,-69.90974370666255,,,
4.0,-70.0,-69.96552516364368,,,
4.0,-69.0,-69.36879779551857,,,
4.0,-70.0,-69.75890221166196,,,
4.0,-70.0,-69.9079088394673,,,
4.0,-68.0,-68.72875632924014,,,
4.0,-70.0,-69.51442812575291,,,
4.0,-70.0,-69.8145280480186,,,
4.0,-70.0,-69.92915601830289,,,
4.0,-68.0,-68.73687202939028,,,
4.0,-66.0,-67.04539209236819,,,
4.0,-68.0,-67.63537222521407,,,
,,,,,
,,,,,
5.0,,,,,
5.0,-66.0,-66.0,-68.24,-68.20104316313662,
5.0,-67.0,-66.66666666666667,,,
5.0,-66.0,-66.25,,,
5.0,-66.0,-66.0952380952381,,,
5.0,-66.0,-66.03636363636365,,,
5.0,-65.0,-65.39583333333334,,,
5.0,-65.0,-65.15119363395226,,,
5.0,-65.0,-65.05775075987842,,,
5.0,-67.0,-66.25812693498452,,,
5.0,-65.0,-65.48056171470806,,,
5.0,-66.0,-65.80159223081701,,,
5.0,-66.0,-65.92421497584542,,,
5.0,-65.0,-65.35301870783324,,,
5.0,-67.0,-66.37090912523482,,,
5.0,-66.0,-66.14167467910197,,,
5.0,-66.0,-66.05411491207171,,,
5.0,-66.0,-66.02067005711318,,,
5.0,-66.0,-66.00789525926783,,,
5.0,-65.0,-65.38498173194043,,,
5.0,-67.0,-66.38311791405323,,,
5.0,-67.0,-66.76437201021926,,,
5.0,-66.0,-66.29196412785467,,,
5.0,-66.0,-66.11152037334476,,,
5.0,-66.0,-66.04259699217963,,,
5.0,-67.0,-66.634304591944,,,
5.0,-79.0,-74.27672464865111,,,
5.0,-66.0,-69.16142750026069,,,
5.0,-68.0,-68.44362582963076,,,
5.0,-67.0,-67.55141599988168,,,
5.0,-78.0,-74.00899604626314,,,
5.0,-66.0,-69.05916427390899,,,
5.0,-75.0,-72.7308026742129,,,
5.0,-66.0,-68.57093784998064,,,
5.0,-68.0,-68.21807885322882,,,
5.0,-76.0,-73.02757061970496,,,
5.0,-66.0,-68.68429311838713,,,
5.0,-66.0,-67.02530873545643,,,
5.0,-66.0,-66.39163308798219,,,
5.0,-71.0,-69.2397604722396,,,
5.0,-67.0,-67.85551237373701,,,
5.0,-66.0,-66.70874266022155,,,
5.0,-77.0,-73.06908948317646,,,
5.0,-77.0,-75.49852578930782,,,
5.0,-76.0,-75.80845389599712,,,
5.0,-74.0,-74.69076792118373,,,
5.0,-74.0,-74.26384986755407,,,
5.0,-65.0,-68.53847578272945,,,
5.0,-66.0,-66.96961146938416,,,
5.0,-74.0,-71.31463053542218,,,
5.0,-68.0,-69.26607620438301,,,
,,,,,
,,,,,
6.0,,,,,
6.0,-72.0,-72.0,-71.70149253731343,-71.69608862213623,
6.0,-71.0,-71.33333333333333,,,
6.0,-66.0,-68.0,,,
6.0,-74.0,-71.71428571428571,,,
6.0,-73.0,-72.5090909090909,,,
6.0,-67.0,-69.10416666666666,,,
6.0,-66.0,-67.18567639257294,,,
6.0,-73.0,-70.7791286727457,,,
6.0,-67.0,-68.44349845201239,,,
6.0,-74.0,-71.87760532150776,,,
6.0,-73.0,-72.57128338320817,,,
6.0,-67.0,-69.12804089026915,,,
6.0,-73.0,-71.5210432232501,,,
6.0,-73.0,-72.43508877918008,,,
6.0,-73.0,-72.78422311427335,,,
6.0,-72.0,-72.29954657488905,,,
6.0,-66.0,-68.40621267789454,,,
6.0,-73.0,-71.24532938004408,,,
6.0,-73.0,-72.32977546223769,,,
6.0,-74.0,-73.36203099541888,,,
6.0,-73.0,-73.13828353526905,,,
6.0,-73.0,-73.05281961038828,,,
6.0,-72.0,-72.4021413071459,,,
6.0,-73.0,-72.77163829979932,,,
6.0,-73.0,-72.91277359225205,,,
6.0,-73.0,-72.96668247695685,,,
6.0,-72.0,-72.36923984986858,,,
6.0,-72.0,-72.14103707264888,,,
6.0,-67.0,-68.96370142432862,,,
6.0,-68.0,-68.36810118908684,,,
6.0,-73.0,-71.2307720866814,,,
6.0,-73.0,-72.32421507095735,,,
6.0,-72.0,-72.12383913744075,,,
6.0,-73.0,-72.6653363301148,,,
6.0,-72.0,-72.25413586415374,,,
6.0,-72.0,-72.0970712623464,,,
6.0,-67.0,-68.946907979136,,,
6.0,-66.0,-67.12561868631168,,,
6.0,-71.0,-69.52011802354853,,,
6.0,-73.0,-71.11671087533156,,,
6.0,-75.0,-73.51671732522796,,,
6.0,-73.0,-73.19736842105263,,,
6.0,-72.0,-72.45735402808573,,,
